رقم_الطلب,تاريخ_التقديم,تاريخ_الإغلاق,الحي,نوع_الخدمة,التصنيف,قناة_التقديم,الحالة,مدة_المعالجة_أيام,تقييم_الرضا,موسم_ذروة
MKC-2023153,2024-02-11,2024-02-17,العتيبية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,6.0,3.0,لا
MKC-2028300,2024-02-11,2024-03-08,الرصيفة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,26.0,3.0,لا
MKC-2024798,2024-02-11,2024-02-14,العزيزية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,3.0,,لا
MKC-2024292,2024-02-11,2024-03-04,الكعكية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,22.0,,لا
MKC-2028123,2024-02-11,2024-02-13,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,4.0,لا
MKC-2024892,2024-02-11,2024-03-25,أجياد,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,43.0,3.0,لا
MKC-2023016,2024-02-11,2024-02-18,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,7.0,,لا
MKC-2023227,2024-02-12,2024-02-15,الششة,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,3.0,4.0,لا
MKC-2025406,2024-02-12,2024-02-15,الهجرة,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,3.0,5.0,لا
MKC-2023541,2024-02-12,,الجميزة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2025732,2024-02-12,2024-02-20,النسيم,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,4.0,لا
MKC-2026196,2024-02-12,2024-02-18,الشوقية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,6.0,3.0,لا
MKC-2027175,2024-02-12,2024-02-20,بطحاء قريش,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,8.0,,لا
MKC-2025399,2024-02-12,2024-02-20,الجميزة,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,8.0,5.0,لا
MKC-2023628,2024-02-12,2024-02-23,النوارية,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,11.0,5.0,لا
MKC-2028095,2024-02-12,2024-02-18,الششة,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مرفوض,6.0,,لا
MKC-2027228,2024-02-13,2024-03-14,أجياد,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,30.0,3.0,لا
MKC-2023078,2024-02-13,2024-02-17,النوارية,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,4.0,5.0,لا
MKC-2025276,2024-02-13,2024-02-21,بطحاء قريش,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,8.0,,لا
MKC-2024587,2024-02-13,,الهجرة,شكوى نظافة عامة,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2026383,2024-02-13,2024-03-11,الحجون,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),محول لجهة أخرى,27.0,,لا
MKC-2026245,2024-02-13,2024-02-19,النسيم,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,6.0,,لا
MKC-2028605,2024-02-13,2024-02-15,النوارية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مقبول ومنفذ,2.0,4.0,لا
MKC-2025719,2024-02-13,2024-02-18,العزيزية,شكوى نظافة عامة,شكوى,حساب X (تويتر),محول لجهة أخرى,5.0,,لا
MKC-2025867,2024-02-13,2024-02-15,الششة,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مرفوض,2.0,,لا
MKC-2027525,2024-02-14,2024-02-17,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2026431,2024-02-14,2024-02-22,جرول,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),مرفوض,8.0,,لا
MKC-2025571,2024-02-14,2024-03-06,أجياد,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,21.0,3.0,لا
MKC-2025815,2024-02-15,,الرصيفة,شكوى إنارة شوارع,شكوى,المركز الموحد 940,قيد المعالجة,,,لا
MKC-2023066,2024-02-15,2024-02-24,النوارية,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مرفوض,9.0,,لا
MKC-2026451,2024-02-15,2024-02-18,العتيبية,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,3.0,3.0,لا
MKC-2028052,2024-02-15,2024-02-20,الزاهر,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مغلق - تم الحل,5.0,4.0,لا
MKC-2025626,2024-02-16,2024-02-21,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,5.0,,لا
MKC-2026925,2024-02-16,2024-03-06,الحجون,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,19.0,4.0,لا
MKC-2027102,2024-02-16,2024-02-20,النوارية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مرفوض,4.0,,لا
MKC-2024212,2024-02-17,2024-02-20,المسفلة,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مقبول ومنفذ,3.0,4.0,لا
MKC-2026625,2024-02-17,2024-02-25,العزيزية,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,8.0,3.0,لا
MKC-2028221,2024-02-17,2024-03-01,العزيزية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,13.0,3.0,لا
MKC-2026356,2024-02-17,2024-02-20,الششة,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,3.0,,لا
MKC-2028924,2024-02-17,2024-02-25,العتيبية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,محول لجهة أخرى,8.0,,لا
MKC-2024879,2024-02-17,2024-02-21,الشوقية,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2023705,2024-02-17,2024-02-25,العزيزية,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,8.0,,لا
MKC-2023716,2024-02-18,2024-03-04,العتيبية,شكوى مخالفة بناء,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,15.0,,لا
MKC-2024030,2024-02-18,2024-02-22,جرول,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,4.0,4.0,لا
MKC-2026794,2024-02-18,2024-02-19,الشرائع,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,1.0,4.0,لا
MKC-2025264,2024-02-18,2024-03-18,العزيزية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,29.0,4.0,لا
MKC-2026435,2024-02-18,2024-03-08,بطحاء قريش,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,19.0,3.0,لا
MKC-2028390,2024-02-18,2024-02-24,الششة,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,6.0,4.0,لا
MKC-2026430,2024-02-18,2024-03-08,الشوقية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,19.0,3.0,لا
MKC-2025521,2024-02-19,2024-02-26,الزاهر,شكوى إنارة شوارع,شكوى,حساب X (تويتر),مقبول ومنفذ,7.0,4.0,لا
MKC-2024316,2024-02-19,2024-03-11,بطحاء قريش,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,قيد المعالجة,21.0,,لا
MKC-2024301,2024-02-19,2024-03-19,الشوقية,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مرفوض,29.0,,لا
MKC-2026241,2024-02-19,2024-02-26,جرول,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,قيد المعالجة,7.0,,لا
MKC-2028141,2024-02-19,2024-02-29,جرول,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,10.0,5.0,لا
MKC-2026483,2024-02-19,2024-02-21,النوارية,شكوى باعة متجولين,شكوى,المركز الموحد 940,محول لجهة أخرى,2.0,,لا
MKC-2025932,2024-02-19,2024-02-23,الشوقية,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,4.0,,لا
MKC-2028100,2024-02-19,2024-03-10,العزيزية,طلب صيانة حديقة/ملعب,طلب صيانة,حساب X (تويتر),مرفوض,20.0,,لا
MKC-2024723,2024-02-19,2024-02-23,الرصيفة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2025994,2024-02-19,2024-03-08,جرول,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,18.0,,لا
MKC-2028639,2024-02-19,2024-02-26,النوارية,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,7.0,,لا
MKC-2028803,2024-02-20,2024-03-16,العزيزية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مرفوض,25.0,,لا
MKC-2024343,2024-02-20,2024-02-27,الشوقية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مرفوض,7.0,,لا
MKC-2025191,2024-02-20,2024-02-28,الشوقية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,3.0,لا
MKC-2024217,2024-02-20,2024-03-20,العزيزية,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,29.0,4.0,لا
MKC-2026866,2024-02-20,2024-03-17,بطحاء قريش,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,26.0,3.0,لا
MKC-2026812,2024-02-20,2024-02-22,الهجرة,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,2.0,3.0,لا
MKC-2026479,2024-02-20,2024-03-15,المسفلة,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,24.0,4.0,لا
MKC-2024327,2024-02-21,2024-02-24,الزاهر,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,لا
MKC-2025657,2024-02-21,2024-03-13,الزاهر,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,قيد المعالجة,21.0,,لا
MKC-2026258,2024-02-21,2024-02-26,العزيزية,شكوى إنارة شوارع,شكوى,حساب X (تويتر),مغلق - تم الحل,5.0,4.0,لا
MKC-2027014,2024-02-21,2024-02-26,بطحاء قريش,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,لا
MKC-2023062,2024-02-21,2024-02-29,الشرائع,شكوى إنارة شوارع,شكوى,تطبيق بلدي,محول لجهة أخرى,8.0,,لا
MKC-2023352,2024-02-21,2024-02-23,الكعكية,شكوى باعة متجولين,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,2.0,3.0,لا
MKC-2028239,2024-02-21,2024-03-02,النسيم,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,10.0,2.0,لا
MKC-2023489,2024-02-21,2024-03-02,الجميزة,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,4.0,لا
MKC-2025175,2024-02-21,2024-03-02,الشوقية,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مقبول ومنفذ,10.0,3.0,لا
MKC-2027714,2024-02-22,2024-02-24,الشوقية,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,2.0,3.0,لا
MKC-2023835,2024-02-22,2024-03-07,الجميزة,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,14.0,4.0,لا
MKC-2024200,2024-02-22,2024-03-03,العزيزية,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,10.0,4.0,لا
MKC-2024398,2024-02-23,2024-02-28,الكعكية,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,لا
MKC-2027214,2024-02-23,2024-04-06,جرول,ترخيص بناء,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,43.0,3.0,لا
MKC-2026810,2024-02-23,2024-02-28,أجياد,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,3.0,لا
MKC-2025909,2024-02-23,2024-03-06,الكعكية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,محول لجهة أخرى,12.0,,لا
MKC-2024289,2024-02-23,2024-03-31,الهجرة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,37.0,4.0,لا
MKC-2027435,2024-02-23,2024-02-24,العزيزية,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,1.0,5.0,لا
MKC-2026505,2024-02-23,2024-03-02,الجميزة,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,8.0,4.0,لا
MKC-2025338,2024-02-23,2024-02-28,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,5.0,,لا
MKC-2028843,2024-02-23,2024-03-03,الشوقية,شكوى مركبات مهملة,شكوى,المركز الموحد 940,مقبول ومنفذ,9.0,5.0,لا
MKC-2024571,2024-02-24,2024-03-08,العزيزية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,محول لجهة أخرى,13.0,,لا
MKC-2027342,2024-02-24,2024-03-09,المسفلة,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,14.0,3.0,لا
MKC-2024445,2024-02-24,2024-02-26,المسفلة,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,2.0,4.0,لا
MKC-2028586,2024-02-24,2024-03-04,العزيزية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مرفوض,9.0,,لا
MKC-2023057,2024-02-24,2024-02-27,الهجرة,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,لا
MKC-2024796,2024-02-24,2024-02-29,الشوقية,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,قيد المعالجة,5.0,,لا
MKC-2024841,2024-02-25,2024-03-17,الزاهر,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مقبول ومنفذ,21.0,3.0,لا
MKC-2028519,2024-02-25,2024-03-04,النسيم,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,8.0,,لا
MKC-2023771,2024-02-25,2024-03-06,العتيبية,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,10.0,,لا
MKC-2027767,2024-02-25,2024-03-05,جرول,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,9.0,3.0,لا
MKC-2028594,2024-02-25,2024-03-09,بطحاء قريش,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,13.0,,لا
MKC-2023863,2024-02-25,2024-02-29,الجميزة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,4.0,3.0,لا
MKC-2023284,2024-02-26,2024-03-21,جرول,طلب صيانة حديقة/ملعب,طلب صيانة,حساب X (تويتر),مقبول ومنفذ,24.0,3.0,لا
MKC-2026501,2024-02-26,2024-02-29,بطحاء قريش,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,3.0,,لا
MKC-2025624,2024-02-26,2024-03-01,أجياد,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,4.0,,لا
MKC-2024617,2024-02-26,2024-03-02,جرول,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,لا
MKC-2026023,2024-02-26,2024-03-11,الكعكية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,14.0,2.0,لا
MKC-2023488,2024-02-27,2024-03-03,جرول,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مرفوض,5.0,,لا
MKC-2023460,2024-02-27,2024-03-11,جرول,ترخيص بناء,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,13.0,,لا
MKC-2025092,2024-02-27,2024-03-27,جرول,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,29.0,,لا
MKC-2023353,2024-02-27,2024-03-11,الكعكية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,13.0,3.0,لا
MKC-2026677,2024-02-27,2024-03-02,بطحاء قريش,شكوى إنارة شوارع,شكوى,حساب X (تويتر),محول لجهة أخرى,4.0,,لا
MKC-2024962,2024-02-27,2024-03-03,النوارية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,3.0,لا
MKC-2023143,2024-02-27,2024-03-11,المسفلة,شكوى إنارة شوارع,شكوى,المركز الموحد 940,محول لجهة أخرى,13.0,,لا
MKC-2027905,2024-02-27,2024-03-13,النسيم,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,15.0,,لا
MKC-2025445,2024-02-27,2024-02-28,الشوقية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,1.0,4.0,لا
MKC-2028994,2024-02-27,2024-03-11,العزيزية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,13.0,5.0,لا
MKC-2026732,2024-02-28,2024-03-03,النسيم,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2028478,2024-02-28,2024-03-07,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مرفوض,8.0,,لا
MKC-2028189,2024-02-28,2024-03-02,الششة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,3.0,3.0,لا
MKC-2026702,2024-02-29,2024-03-10,الكعكية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,10.0,3.0,لا
MKC-2028598,2024-02-29,2024-03-03,الشوقية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2025968,2024-02-29,2024-03-08,الرصيفة,شكوى مركبات مهملة,شكوى,مكتب فرعي بالحي,مقبول ومنفذ,8.0,4.0,لا
MKC-2025328,2024-02-29,2024-03-10,الزاهر,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,5.0,لا
MKC-2028451,2024-02-29,2024-03-05,النوارية,شكوى باعة متجولين,شكوى,تطبيق بلدي,مقبول ومنفذ,5.0,4.0,لا
MKC-2027658,2024-02-29,2024-03-12,النوارية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,12.0,3.0,لا
MKC-2027077,2024-02-29,2024-03-15,جرول,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,15.0,3.0,لا
MKC-2025739,2024-03-01,2024-03-25,النسيم,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,24.0,,لا
MKC-2025642,2024-03-01,2024-03-07,النوارية,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,4.0,لا
MKC-2023671,2024-03-01,2024-03-05,النوارية,شكوى باعة متجولين,شكوى,حساب X (تويتر),مغلق - تم الحل,4.0,3.0,لا
MKC-2025668,2024-03-01,2024-03-05,العزيزية,شكوى صرف صحي,شكوى,تطبيق بلدي,مرفوض,4.0,,لا
MKC-2027434,2024-03-02,2024-03-17,الشوقية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,15.0,,لا
MKC-2026669,2024-03-02,,الرصيفة,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,قيد المعالجة,,,لا
MKC-2027569,2024-03-02,2024-04-07,النوارية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,36.0,4.0,لا
MKC-2024264,2024-03-03,2024-03-31,النوارية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مرفوض,28.0,,لا
MKC-2028276,2024-03-03,2024-03-23,الششة,طلب صيانة حديقة/ملعب,طلب صيانة,حساب X (تويتر),مقبول ومنفذ,20.0,3.0,لا
MKC-2023464,2024-03-04,2024-03-08,الحجون,شكوى إنارة شوارع,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2028677,2024-03-04,2024-03-19,النسيم,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,15.0,2.0,لا
MKC-2024755,2024-03-04,2024-04-01,النوارية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مرفوض,28.0,,لا
MKC-2024312,2024-03-04,2024-04-11,المسفلة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,38.0,,لا
MKC-2027809,2024-03-04,2024-03-17,النسيم,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,13.0,3.0,لا
MKC-2026733,2024-03-05,2024-03-24,أجياد,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,19.0,4.0,لا
MKC-2023113,2024-03-05,2024-03-09,الششة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,4.0,4.0,لا
MKC-2027664,2024-03-05,2024-03-15,الرصيفة,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مغلق - تم الحل,10.0,5.0,لا
MKC-2026292,2024-03-05,2024-03-09,العتيبية,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2025795,2024-03-05,2024-03-07,أجياد,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,3.0,لا
MKC-2023211,2024-03-06,2024-03-15,الرصيفة,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,9.0,,لا
MKC-2028996,2024-03-06,2024-03-08,الشرائع,شكوى نظافة عامة,شكوى,تطبيق بلدي,مرفوض,2.0,,لا
MKC-2027154,2024-03-06,2024-03-11,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,4.0,لا
MKC-2025330,2024-03-06,2024-03-18,العزيزية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,12.0,5.0,لا
MKC-2028646,2024-03-06,2024-03-09,الرصيفة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,3.0,5.0,لا
MKC-2023879,2024-03-06,2024-03-26,العزيزية,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,20.0,3.0,لا
MKC-2024770,2024-03-06,2024-04-10,الزاهر,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مرفوض,35.0,,لا
MKC-2023132,2024-03-06,2024-03-29,النسيم,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مرفوض,23.0,,لا
MKC-2028856,2024-03-07,2024-03-10,الرصيفة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,لا
MKC-2027974,2024-03-07,2024-03-10,العتيبية,شكوى نظافة عامة,شكوى,حساب X (تويتر),مغلق - تم الحل,3.0,4.0,لا
MKC-2024900,2024-03-07,2024-03-11,بطحاء قريش,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2028081,2024-03-07,2024-03-20,العزيزية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,13.0,4.0,لا
MKC-2027389,2024-03-07,2024-03-08,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,1.0,,لا
MKC-2025674,2024-03-07,2024-03-24,بطحاء قريش,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مرفوض,17.0,,لا
MKC-2026982,2024-03-07,2024-03-21,العزيزية,شكوى إنارة شوارع,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,14.0,,لا
MKC-2024273,2024-03-08,2024-03-16,الزاهر,شكوى صرف صحي,شكوى,المركز الموحد 940,محول لجهة أخرى,8.0,,نعم
MKC-2027457,2024-03-08,2024-04-11,الشرائع,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مرفوض,34.0,,نعم
MKC-2028261,2024-03-08,2024-03-14,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,6.0,4.0,نعم
MKC-2025448,2024-03-08,2024-03-16,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,3.0,نعم
MKC-2028295,2024-03-08,2024-03-10,أجياد,شكوى نظافة عامة,شكوى,تطبيق بلدي,مرفوض,2.0,,نعم
MKC-2024688,2024-03-08,2024-04-09,الكعكية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مرفوض,32.0,,نعم
MKC-2025683,2024-03-08,2024-03-15,الششة,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,7.0,5.0,نعم
MKC-2028592,2024-03-08,2024-03-17,جرول,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,9.0,2.0,نعم
MKC-2023928,2024-03-08,2024-04-20,الششة,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,43.0,3.0,نعم
MKC-2025187,2024-03-08,2024-03-29,النسيم,ترخيص لافتات إعلانية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,21.0,4.0,نعم
MKC-2024860,2024-03-08,2024-03-18,النسيم,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,10.0,3.0,نعم
MKC-2027873,2024-03-08,2024-03-23,جرول,شكوى مركبات مهملة,شكوى,حساب X (تويتر),محول لجهة أخرى,15.0,,نعم
MKC-2028343,2024-03-08,2024-05-16,أجياد,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مرفوض,69.0,,نعم
MKC-2023120,2024-03-08,2024-03-18,الجميزة,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,4.0,نعم
MKC-2028683,2024-03-08,2024-04-20,الشرائع,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,محول لجهة أخرى,43.0,,نعم
MKC-2023813,2024-03-08,2024-03-31,الزاهر,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,23.0,,نعم
MKC-2023129,2024-03-09,2024-03-25,الهجرة,شكوى مركبات مهملة,شكوى,مكتب فرعي بالحي,مرفوض,16.0,,نعم
MKC-2024094,2024-03-09,2024-03-15,المسفلة,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,6.0,5.0,نعم
MKC-2027063,2024-03-09,2024-04-10,الكعكية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,32.0,5.0,نعم
MKC-2025253,2024-03-09,2024-03-24,الزاهر,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,15.0,4.0,نعم
MKC-2024231,2024-03-09,2024-04-03,العتيبية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,قيد المعالجة,25.0,,نعم
